ID,duration_sec,distance_m
0xd4da,1194.2,16178.6
0xb59b,884.4,12660.3
0x4f73,418.4,5750.7
0xadae,1420.7,18645.3
0xb785,1803.3,19566.6
0x8366,463,6650.1
0x8f58,206.8,2911.6
0x247c,438,4467.1
0x43b9,1081.4,14904.5
0x9e8a,1130.9,17868.2
0x1b40,1104.9,14083.2
0xb50,427.1,4761.2
0x3376,197.2,2282.9
0xbecb,681.7,9528.5
0x4357,1942.3,24134.9
0x1486,1287.7,14336.8
0x5b70,953.5,16739.1
0x3e21,586.7,7825.9
0x26d4,1684,21983.3
0xb20f,1615.5,26449.7
0x7ada,2057.8,36933.9
0xc4b3,343.6,4022
0x2a01,232.3,3148
0x6357,1007.8,16229.9
0x9c2a,205.1,2397.1
0x31bd,482.5,5871.1
0x970a,745.5,11646.6
0x2675,2125.2,25080.7
0xa200,1460.6,22939.4
0x9bf9,862.3,12972.4
0x555d,1169.2,16705.6
0xb2e9,708.7,11098.1
0x8633,322.6,4364
0x4c34,679,9197.9
0xa998,151.2,1795.7
0x5efd,195.6,2958.6
0x8d83,879.8,11817.3
0x8a06,1478.4,20410.4
0x5a2d,915.8,9015.7
0x83ea,646.4,10186.3
0x2185,1473.2,21067.2
0x12e7,1515.5,20386.6
0x5956,386.1,4391.5
0x5a07,884.9,12742.2
0x340f,935.1,13723.1
0x8094,983,15170.6
0x3241,492.1,7466.2
0xa176,839.6,11127
0xc8c7,906.2,10937.8
0xaa97,1056,15213.1
0xa64c,227.9,2491.1
0x7df5,644,6723.6
0x869e,1068.6,16873.5
0x7725,1473.2,21067.2
0xb6d2,427.1,4558.5
0x6edb,1147.4,23353.1
0xaab4,1059.9,13141.9
0xaabd,840.9,12393.4
0xc873,1358.4,17391.8
0x1494,1438.4,19959.3
0x1875,1505.6,23697.1
0x2af5,1064.9,15528.9
0x97b6,684.8,9041.2
0xa56e,546,6161
0xaa3f,1149.2,13473.5
0x996b,1345.5,20731.6
0xc595,1876.6,30841.8
0x6bfb,563.4,8092.7
0x7e1f,966.3,11526.3
0x1db4,818.1,12891.1
0x2258,1096.3,13090.2
0x1fd6,617.8,7770.4
0x6de1,521.4,7150.9
0x8b39,1266.8,19595.2
0x997b,1704.3,31910.3
0xcdb6,1854.7,29664.9
0x5a7a,1288,20706
0x6de3,1632.3,27299.5
0xe27a,1863.5,30857.2
0xab52,1456.3,25632.9
0x4632,1514.6,15958.7
0x4b8a,1331.1,23668.5
0x1623,620.5,8759.2
0x7ea,499.6,5899.9
0x4dfa,324.6,2724.8
0xa667,233.9,2345.7
0x6e9d,774.6,9752.5
0x9a32,600.1,9090.4
0x917d,350.5,5716.1
0x4ac4,1301.9,19197.4
0x7bd7,846.3,13226.1
0x9735,1686.5,26262
0x1a54,1204.6,19244.5
0x819d,1248.4,18940.9
0x96f0,1142.8,15537.7
0x66f1,1568.8,21416.3
0xc6e9,715.7,9186.6
0xb8aa,399.5,4140.8
0xc668,1319.2,17286.8
0x4c13,1282,23679.7
0x824a,214.3,1976.1
0xcb5b,187.1,1857.5
0x4cab,959.4,11284.2
0xafc4,958.6,16408.2
0x1655,852.7,14106.9
0x7573,1222.5,16554.6
0x9201,1332.3,21740.2
0xa940,1042.3,17293
0xd6ef,1144.6,16569.3
0xb39b,227.4,2541.5
0x9873,933.9,16565.7
0x29ab,1889.7,26272.6
0x8198,526.5,5932.2
0x7b24,1059.1,17001.5
0x92ec,927.5,11265
0x1aca,525.3,7157.9
0xa348,417.5,5999.6
0x14d0,1068.6,16873.5
0xd800,4434,62759.2
0x6d58,1502,22221.4
0xa20a,1119.3,21384.3
0x7c9e,423.9,4293.5
0x5ef3,514.8,8294.5
0x80c2,1562,25977.6
0xd2b0,1335.3,15978.9
0x70ff,468.6,5863.2
0x548e,1996.1,27165.1
0x26f1,945.2,16200.7
0x4a1b,395.4,4794.2
0x5561,1126.1,16560.4
0xafd4,446.2,4105.7
0x6957,594.1,10225.9
0x9151,1014.1,14691.7
0x9d4c,1171,14123
0xd413,719.6,9592.1
0x4421,710.1,9683.8
0xa631,631.5,7060.3
0xa04,970.9,16284.9
0x58c2,800.2,10826
0xbbc6,1320.6,20522.9
0xbcd5,153.4,1968.1
0x6234,1266.8,19595.2
0xcc11,897.7,10489.1
